Site,DateTime,Value
BT4,01/02/2021 00:00,13
BT4,01/02/2021 01:00,8
BT4,01/02/2021 02:00,10
BT4,01/02/2021 03:00,9
BT4,01/02/2021 04:00,13
BT4,01/02/2021 05:00,17
BT4,01/02/2021 06:00,19
BT4,01/02/2021 07:00,22
BT4,01/02/2021 08:00,27
BT4,01/02/2021 09:00,17
BT4,01/02/2021 12:00,17
BT4,01/02/2021 13:00,18
BT4,01/02/2021 14:00,13
BT4,01/02/2021 15:00,14
BT4,01/02/2021 16:00,14
BT4,01/02/2021 17:00,18
BT4,01/02/2021 18:00,19
BT4,01/02/2021 19:00,26
BT4,01/02/2021 20:00,27
BT4,01/02/2021 21:00,25
BT4,01/02/2021 22:00,25
BT4,01/02/2021 23:00,20
BT4,02/02/2021 00:00,16
BT4,02/02/2021 01:00,16
BT4,02/02/2021 02:00,11
BT4,02/02/2021 03:00,8
BT4,02/02/2021 04:00,6
BT4,02/02/2021 05:00,7
BT4,02/02/2021 06:00,9
BT4,02/02/2021 07:00,16
BT4,02/02/2021 08:00,11
BT4,02/02/2021 09:00,8
BT4,02/02/2021 10:00,9
BT4,02/02/2021 11:00,10
BT4,02/02/2021 12:00,11
BT4,02/02/2021 13:00,18
BT4,02/02/2021 14:00,18
BT4,02/02/2021 15:00,20
BT4,02/02/2021 16:00,16
BT4,02/02/2021 17:00,19
BT4,02/02/2021 18:00,14
BT4,02/02/2021 19:00,9
BT4,02/02/2021 20:00,7
BT4,02/02/2021 21:00,12
BT4,02/02/2021 22:00,12
BT4,02/02/2021 23:00,10
BT4,03/02/2021 00:00,6
BT4,03/02/2021 01:00,7
BT4,03/02/2021 02:00,6
BT4,03/02/2021 03:00,6
BT4,03/02/2021 04:00,9
BT4,03/02/2021 05:00,9
BT4,03/02/2021 06:00,9
BT4,03/02/2021 07:00,14
BT4,03/02/2021 08:00,18
BT4,03/02/2021 09:00,14
BT4,03/02/2021 10:00,12
BT4,03/02/2021 11:00,19
BT4,03/02/2021 12:00,12
BT4,03/02/2021 13:00,7
BT4,03/02/2021 14:00,6
BT4,03/02/2021 15:00,9
BT4,03/02/2021 16:00,7
BT4,03/02/2021 17:00,13
BT4,03/02/2021 18:00,17
BT4,03/02/2021 19:00,12
BT4,03/02/2021 20:00,9
BT4,03/02/2021 21:00,13
BT4,03/02/2021 22:00,10
BT4,03/02/2021 23:00,11
BT4,04/02/2021 00:00,7
BT4,04/02/2021 01:00,8
BT4,04/02/2021 02:00,10
BT4,04/02/2021 03:00,10
BT4,04/02/2021 04:00,12
BT4,04/02/2021 05:00,10
BT4,04/02/2021 06:00,15
BT4,04/02/2021 07:00,23
BT4,04/02/2021 08:00,17
BT4,04/02/2021 09:00,9
BT4,04/02/2021 10:00,28
BT4,04/02/2021 11:00,18
BT4,04/02/2021 12:00,12
BT4,04/02/2021 13:00,18
BT4,04/02/2021 14:00,11
BT4,04/02/2021 15:00,11
BT4,04/02/2021 16:00,12
BT4,04/02/2021 17:00,9
BT4,04/02/2021 18:00,13
BT4,04/02/2021 19:00,13
BT4,04/02/2021 21:00,9
BT4,04/02/2021 22:00,8
BT4,04/02/2021 23:00,8
BT4,05/02/2021 00:00,5
BT4,05/02/2021 01:00,4
